Date,Content,Video title,Video publish time,Duration,Views
2025-09-07,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,115
2025-09-08,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,59
2025-09-09,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,48
2025-09-10,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,38
2025-09-11,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,57
2025-09-12,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,70
2025-09-13,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,65
2025-09-14,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,75
2025-09-15,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,115
2025-09-16,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,48
2025-09-17,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,65
2025-09-18,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,64
2025-09-19,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,70
2025-09-20,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,91
2025-09-21,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,73
2025-09-22,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,48
2025-09-23,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,55
