Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,65217,262.8651,-2,8.927,250650,5.33
ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,30340,99.1927,5,1.561,38158,7.33
rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,11058,26.8916,12,0.698,33016,3.9
sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,4400,10.378,7,0.286,40221,3.51
Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,1926,58.5923,17,4.728,16180,8.2
OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,1840,4.5944,7,0.15,14737,3.91
SOYPzR60IXE,Orphic's 3rd Transition & Effects Pack | WIS Alight Motion,"Mar 16, 2024",21,1681,3.9957,2,0.132,14846,3.56
ESET7aEFrsk,Gojos Vs Sukuna | Final Filler #gojo #sukuna #jjk,"Sep 16, 2024",16,1677,7.2847,3,0.126,3910,16.73
Yr7nj26VYCk,AE-Like TEXT Pack | Alight Motion XML + Link,"Feb 24, 2024",30,1416,6.4707,5,0.502,11296,11.25
HqZ9o5SNOdU,Awakened Itadori Vs Awakened Gojo #jjk #itadori #gojo,"May 15, 2024",20,1219,3.8724,0,0.082,887,9.92
obFdoKYChrA,Orphic's 3rd Text Pack | WIS Alight Link + XML + QR,"Feb 4, 2024",27,1141,3.1574,0,0.094,8563,3.82
faeGvZ97THc,Orphic X @b6rbo 2nd @Conquestor_ Pack | Text • Nulls • Transitions • Shakes | Alight Motion,"Mar 31, 2024",26,1139,3.2462,2,0.065,8203,4.17
i26QMfXt8-g,Orphic's 5th WIS + AniTok Shake Pack | Alight Link + XML (Alight Motion),"Nov 26, 2023",27,1118,2.9525,2,0.074,9557,4.76
Oon1J7Cl-0g,Orphic's 4th Shake Pack | Alight Link + XML,"Oct 1, 2023",24,1054,3.0414,0,0.077,7138,4.44
